,Data ACBFF,Preço ACBFF,Retorno ACBFF,Data AMZN,Preço AMZN,Retorno AMZN,Data AMD,Preço AMD,Retorno AMD,Data BABA,Preço BABA,Retorno BABA,Data NBEV,Preço NBEV,Retorno NBEV,Data ACRX,Preço ACRX,Retorno ACRX,Data EARS,Preço EARS,Retorno EARS,Data AMRN,Preço AMRN,Retorno AMRN,Data SQ,Preço SQ,Retorno SQ,Data ACB.TO,Preço ACB.TO,Retorno ACB.TO,Data ADBE,Preço ADBE,Retorno ADBE,Data APHQF,Preço APHQF,Retorno APHQF,Data GOOG,Preço GOOG,Retorno GOOG,Data RAD,Preço RAD,Retorno RAD,Data TWLO,Preço TWLO,Retorno TWLO,Data CBWTF,Preço CBWTF,Retorno CBWTF,Data ARWR,Preço ARWR,Retorno ARWR,Data JD,Preço JD,Retorno JD,Data AGRX,Preço AGRX,Retorno AGRX,Data GOOGL,Preço GOOGL,Retorno GOOGL,Data ATVI,Preço ATVI,Retorno ATVI,Data BIDU,Preço BIDU,Retorno BIDU,Data FIT,Preço FIT,Retorno FIT,Data SHOP,Preço SHOP,Retorno SHOP,Data AVEO,Preço AVEO,Retorno AVEO,Data ALT,Preço ALT,Retorno ALT,Data APH.TO,Preço APH.TO,Retorno APH.TO,Data ZUO,Preço ZUO,Retorno ZUO,Data ATRS,Preço ATRS,Retorno ATRS,Data PANW,Preço PANW,Retorno PANW,Data AA,Preço AA,Retorno AA,Data AKER,Preço AKER,Retorno AKER,Data AKS,Preço AKS,Retorno AKS,Data BUD,Preço BUD,Retorno BUD,Data GWPH,Preço GWPH,Retorno GWPH,Data CRSP,Preço CRSP,Retorno CRSP,Data AGEN,Preço AGEN,Retorno AGEN,Data YY,Preço YY,Retorno YY,Data ACAD,Preço ACAD,Retorno ACAD,Data UA,Preço UA,Retorno UA,Data EA,Preço EA,Retorno EA,Data ALGN,Preço ALGN,Retorno ALGN,Data WB,Preço WB,Retorno WB,Data ARRY,Preço ARRY,Retorno ARRY,Data HMPQ,Preço HMPQ,Retorno HMPQ,Data LULU,Preço LULU,Retorno LULU,Data FNMA,Preço FNMA,Retorno FNMA,Data MOMO,Preço MOMO,Retorno MOMO,Data ANET,Preço ANET,Retorno ANET,Data AAXN,Preço AAXN,Retorno AAXN
0,"Oct 16, 2018",1081.0,-0.07740634574896409,"Oct 16, 2018",1.81996,0.03296108667277055,"Oct 16, 2018",2818.0,0.07056563759588393,"Oct 16, 2018",14960.0,0.037041271680349076,"Oct 16, 2018",699.0,-0.05564717871439148,"Oct 16, 2018",397.0,-0.07752063824082658,"Oct 16, 2018",148.0,0.06995858860691047,"Oct 16, 2018",2012.0,0.042127518313900734,"Oct 16, 2018",7872.0,0.06494510784778701,"Oct 16, 2018",1398.0,-0.07507827583273986,"Oct 16, 2018",26067.0,0.09094254992370816,"Oct 16, 2018",1443.0,-0.06180610124742666,"Oct 16, 2018",1.12128,0.026231101036372016,"Oct 16, 2018",108.0,0.028170876966696224,"Oct 16, 2018",7592.0,-0.0027622510164487754,"Oct 16, 2018",110.0,-0.018018505502678365,"Oct 16, 2018",1387.0,0.05330647570296656,"Oct 16, 2018",2463.0,0.02009499646306119,"Oct 16, 2018",9788.0,0.031972829313494815,"Oct 16, 2018",1.13308,0.027413683466580553,"Oct 16, 2018",7873.0,0.03964249648994572,"Oct 16, 2018",20321.0,0.0153227404718475,"Oct 16, 2018",508.0,0.04839654086185024,"Oct 16, 2018",14583.0,0.07199499288465043,"Oct 16, 2018",274.0,0.05630004468853258,"Oct 16, 2018",465.0,0.18879407129957215,"Oct 16, 2018",1869.0,-0.0627311102629753,"Oct 16, 2018",2091.0,0.05505075382606793,"Oct 16, 2018",353.0,0.05832556695285292,"Oct 16, 2018",20500.0,-0.020280753052359702,"Oct 16, 2018",3619.0,0.02376737068410079,"Oct 16, 2018",352.0,-0.04987183004017298,"Oct 16, 2018",474.0,0.017021687569430524,"Oct 16, 2018",8543.0,0.009408513481512601,"Oct 16, 2018",14747.0,0.029173035471075685,"Oct 16, 2018",3960.0,0.09809182276620167,"Oct 16, 2018",198.0,0.0,"Oct 16, 2018",6888.0,0.008456093542730943,"Oct 16, 2018",2292.0,0.07424222737309524,"Oct 16, 2018",1791.0,0.034074846884502456,"Oct 16, 2018",10742.0,0.014440007118412769,"Oct 16, 2018",33494.0,0.053694089722152234,"Oct 16, 2018",6314.0,0.04486219032151078,"Oct 16, 2018",1540.0,0.11260167691438586,"Oct 16, 2018",129.0,0.03953083875663522,"Oct 16, 2018",14683.0,0.016272802352145378,"Oct 16, 2018",132.0,0.038614836127779516,"Oct 16, 2018",3759.0,-0.011374279484196448,"Oct 16, 2018",23358.0,0.05613145611169507,"Oct 16, 2018",6124.0,0.07069722500412913
1,"Oct 15, 2018",1168.0,0.10459977009051714,"Oct 15, 2018",1.76095,-0.015585345726879769,"Oct 15, 2018",2626.0,-0.0030418274404848886,"Oct 15, 2018",14416.0,-0.021479638641423913,"Oct 15, 2018",739.0,0.1771926482636056,"Oct 15, 2018",429.0,0.07500491364357922,"Oct 15, 2018",138.0,0.34228620648663277,"Oct 15, 2018",1929.0,-0.018490511397632584,"Oct 15, 2018",7377.0,-0.002707460703565389,"Oct 15, 2018",1507.0,0.09458051906418098,"Oct 15, 2018",23801.0,-0.04461798218019866,"Oct 15, 2018",1535.0,0.04667513857012989,"Oct 15, 2018",1.09225,-0.016192295949839678,"Oct 15, 2018",105.0,-0.00947874395454377,"Oct 15, 2018",7613.0,0.01495429178181068,"Oct 15, 2018",112.0,0.1967102942460543,"Oct 15, 2018",1315.0,0.0030464608481650737,"Oct 15, 2018",2414.0,-0.012760000251495552,"Oct 15, 2018",9480.0,0.24770431605680637,"Oct 15, 2018",1.10244,-0.016284806881386782,"Oct 15, 2018",7567.0,-0.02930087862784944,"Oct 15, 2018",20012.0,-0.02096595784259292,"Oct 15, 2018",484.0,0.04652001563489291,"Oct 15, 2018",13570.0,0.003691403231959677,"Oct 15, 2018",259.0,-0.041593897298837015,"Oct 15, 2018",385.0,-0.07744192597347901,"Oct 15, 2018",1990.0,0.040507973478265055,"Oct 15, 2018",1979.0,0.08926482134269427,"Oct 15, 2018",333.0,-0.008968669982760375,"Oct 15, 2018",20920.0,-0.013059665607878287,"Oct 15, 2018",3534.0,-0.009294532479249766,"Oct 15, 2018",370.0,0.044206092504495705,"Oct 15, 2018",466.0,0.0064585800394117284,"Oct 15, 2018",8463.0,0.0034325653636009105,"Oct 15, 2018",14323.0,-0.0006281626449793248,"Oct 15, 2018",3590.0,-0.04892279895973187,"Oct 15, 2018",198.0,0.01526747213078838,"Oct 15, 2018",6830.0,-0.06682360965074637,"Oct 15, 2018",2128.0,-0.020465830592291002,"Oct 15, 2018",1731.0,0.0023134770295305702,"Oct 15, 2018",10588.0,-0.0020756682610368854,"Oct 15, 2018",31743.0,-0.03123073349112664,"Oct 15, 2018",6037.0,0.0121658029117971,"Oct 15, 2018",1376.0,0.007293978362553626,"Oct 15, 2018",124.0,0.058107630807280757,"Oct 15, 2018",14446.0,0.005205272536545272,"Oct 15, 2018",127.0,-0.031010236742560322,"Oct 15, 2018",3802.0,0.009779382814380597,"Oct 15, 2018",22083.0,-0.006949486452616453,"Oct 15, 2018",5706.0,-0.03105839701997274
2,"Oct 12, 2018",1052.0,0.07909258883721616,"Oct 12, 2018",1.78861,0.03948665332099534,"Oct 12, 2018",2634.0,0.040284300581660416,"Oct 12, 2018",14729.0,0.03728084833545469,"Oct 12, 2018",619.0,0.04122595332195126,"Oct 12, 2018",398.0,0.0,"Oct 12, 2018",98.0,0.36545977349446523,"Oct 12, 2018",1965.0,0.017454241874847135,"Oct 12, 2018",7397.0,0.06911841288439216,"Oct 12, 2018",1371.0,0.08284263646115592,"Oct 12, 2018",24887.0,0.04218407413856115,"Oct 12, 2018",1465.0,-0.030254408357802375,"Oct 12, 2018",1.11008,0.028100871592725757,"Oct 12, 2018",106.0,0.01904819497069441,"Oct 12, 2018",7500.0,0.07918751789702048,"Oct 12, 2018",92.0,0.021978906718775167,"Oct 12, 2018",1311.0,0.017699577099400857,"Oct 12, 2018",2445.0,0.04048122096098523,"Oct 12, 2018",7400.0,0.19319122903085853,"Oct 12, 2018",1.12054,0.026954346994736773,"Oct 12, 2018",7792.0,0.053646650356890806,"Oct 12, 2018",20436.0,0.03161611376806208,"Oct 12, 2018",462.0,0.02631730831737336,"Oct 12, 2018",13520.0,0.0516826570058714,"Oct 12, 2018",270.0,0.03774032798284711,"Oct 12, 2018",416.0,-0.0024009615375381503,"Oct 12, 2018",1911.0,-0.030406877491761096,"Oct 12, 2018",1810.0,0.015029506396730969,"Oct 12, 2018",336.0,-0.011834457647002796,"Oct 12, 2018",21195.0,0.04230733078912711,"Oct 12, 2018",3567.0,0.0,"Oct 12, 2018",354.0,0.1688533397430881,"Oct 12, 2018",463.0,0.026259714583555728,"Oct 12, 2018",8434.0,0.0,"Oct 12, 2018",14332.0,0.016603730248883758,"Oct 12, 2018",3770.0,0.020094447059754328,"Oct 12, 2018",195.0,-0.025317807984289897,"Oct 12, 2018",7302.0,0.07078459187052145,"Oct 12, 2018",2172.0,0.03418736123319307,"Oct 12, 2018",1727.0,0.026402237613785264,"Oct 12, 2018",10610.0,0.023844715794554664,"Oct 12, 2018",32750.0,0.04573224894168235,"Oct 12, 2018",5964.0,0.06619426178836164,"Oct 12, 2018",1366.0,0.04033407062670111,"Oct 12, 2018",117.0,-0.06613980250454495,"Oct 12, 2018",14371.0,0.022518719467906644,"Oct 12, 2018",131.0,0.02316705928153438,"Oct 12, 2018",3765.0,0.05851860729090601,"Oct 12, 2018",22237.0,0.031567383725294156,"Oct 12, 2018",5886.0,0.04642293768121983
3,"Oct 11, 2018",972.0,-0.033387016032737055,"Oct 11, 2018",1.71936,-0.02065916835690151,"Oct 11, 2018",2530.0,0.011928570865273812,"Oct 11, 2018",14190.0,0.025769654689430013,"Oct 11, 2018",594.0,-0.013378125946176087,"Oct 11, 2018",398.0,0.10034797383428208,"Oct 11, 2018",68.0,0.3074846997479607,"Oct 11, 2018",1931.0,0.10760712508802728,"Oct 11, 2018",6903.0,-0.11509137414749347,"Oct 11, 2018",1262.0,-0.03961683120163768,"Oct 11, 2018",23859.0,0.0028541467434010283,"Oct 11, 2018",1510.0,-0.013158084577511088,"Oct 11, 2018",1.07932,-0.00175882000777208,"Oct 11, 2018",104.0,-0.06513930217096149,"Oct 11, 2018",6929.0,0.018498816060240512,"Oct 11, 2018",90.0,-0.03278982282299084,"Oct 11, 2018",1288.0,0.018809331957496293,"Oct 11, 2018",2348.0,0.033343638842428636,"Oct 11, 2018",6100.0,-0.07270183177673206,"Oct 11, 2018",1.09074,-0.0013010217603168146,"Oct 11, 2018",7385.0,0.0036627593007604463,"Oct 11, 2018",19800.0,0.01906956272035075,"Oct 11, 2018",450.0,-0.03278982282299084,"Oct 11, 2018",12839.0,-0.013230878915467285,"Oct 11, 2018",260.0,-0.052446475372542545,"Oct 11, 2018",417.0,-0.09596398826174371,"Oct 11, 2018",1970.0,-0.018109146789846594,"Oct 11, 2018",1783.0,-0.037428694710357105,"Oct 11, 2018",340.0,0.008862687257845324,"Oct 11, 2018",20317.0,0.0038959487079052763,"Oct 11, 2018",3567.0,-0.010874218404371049,"Oct 11, 2018",299.0,-0.07099754973932945,"Oct 11, 2018",451.0,-0.013216051391526375,"Oct 11, 2018",8434.0,-0.007912648310853681,"Oct 11, 2018",14096.0,0.010841760976103844,"Oct 11, 2018",3695.0,0.008425107588281178,"Oct 11, 2018",200.0,0.0408219945202552,"Oct 11, 2018",6803.0,-0.005716395192489206,"Oct 11, 2018",2099.0,0.03638528941327678,"Oct 11, 2018",1682.0,0.0005947071242777133,"Oct 11, 2018",10360.0,-0.014850572323326067,"Oct 11, 2018",31286.0,-0.010081339655944495,"Oct 11, 2018",5582.0,-0.01210841004421913,"Oct 11, 2018",1312.0,0.015361285161487149,"Oct 11, 2018",125.0,0.22314355131420976,"Oct 11, 2018",14051.0,-0.00120914698753287,"Oct 11, 2018",128.0,-0.03077165866675366,"Oct 11, 2018",3551.0,0.012753467461908091,"Oct 11, 2018",21546.0,-0.04683008628918991,"Oct 11, 2018",5619.0,-0.02582488708614924
4,"Oct 10, 2018",1005.0,-0.014815085785140587,"Oct 10, 2018",1.75525,-0.06349824230605694,"Oct 10, 2018",2500.0,-0.08581065641311084,"Oct 10, 2018",13829.0,-0.060671410715564436,"Oct 10, 2018",602.0,0.049371728594081433,"Oct 10, 2018",360.0,0.3063742054639334,"Oct 10, 2018",50.0,-0.1823215567939546,"Oct 10, 2018",1734.0,-0.014882930691710303,"Oct 10, 2018",7745.0,-0.10668952238879777,"Oct 10, 2018",1313.0,-0.008342862194157348,"Oct 10, 2018",23791.0,-0.06607153906750823,"Oct 10, 2018",1530.0,0.13259812144152416,"Oct 10, 2018",1.08122,-0.05190260539956458,"Oct 10, 2018",111.0,-0.026668247082161294,"Oct 10, 2018",6802.0,-0.08871285915815269,"Oct 10, 2018",93.0,0.0,"Oct 10, 2018",1264.0,-0.08489944378648627,"Oct 10, 2018",2271.0,-0.04603953514516867,"Oct 10, 2018",6560.0,-0.07910418109127207,"Oct 10, 2018",1.09216,-0.04739571086489879,"Oct 10, 2018",7358.0,-0.05370950862418115,"Oct 10, 2018",19426.0,-0.03336089283110671,"Oct 10, 2018",465.0,-0.06049811160056625,"Oct 10, 2018",13010.0,-0.07490923226036204,"Oct 10, 2018",274.0,-0.04286370443178239,"Oct 10, 2018",459.0,-0.008676844025688971,"Oct 10, 2018",2006.0,0.14110881110943269,"Oct 10, 2018",1851.0,-0.059766211729864065,"Oct 10, 2018",337.0,-0.07707093728437889,"Oct 10, 2018",20238.0,-0.04794745228228354,"Oct 10, 2018",3606.0,-0.04288309694200764,"Oct 10, 2018",321.0,-0.09785579000375856,"Oct 10, 2018",457.0,-0.04910271300773197,"Oct 10, 2018",8501.0,-0.01841543883044232,"Oct 10, 2018",13944.0,-0.047341146103912636,"Oct 10, 2018",3664.0,-0.005715078829416111,"Oct 10, 2018",192.0,-0.025708356710206923,"Oct 10, 2018",6842.0,-0.04305276961742251,"Oct 10, 2018",2024.0,-0.04445176257083381,"Oct 10, 2018",1681.0,-0.052719997756410605,"Oct 10, 2018",10515.0,-0.04044531873662477,"Oct 10, 2018",31603.0,-0.07595735108419586,"Oct 10, 2018",5650.0,-0.07794384219803639,"Oct 10, 2018",1292.0,-0.03871451218069039,"Oct 10, 2018",100.0,-0.009950330853168092,"Oct 10, 2018",14068.0,-0.06581276580953525,"Oct 10, 2018",132.0,-0.02247285585205863,"Oct 10, 2018",3506.0,-0.07206857021507392,"Oct 10, 2018",22579.0,-0.0553926796966691,"Oct 10, 2018",5766.0,-0.08602812117716434
5,"Oct 09, 2018",1020.0,-0.026126304592220036,"Oct 09, 2018",1.87032,0.0031595264506308145,"Oct 09, 2018",2724.0,0.02905232259450195,"Oct 09, 2018",14694.0,-0.028182219400442438,"Oct 09, 2018",573.0,-0.25441220423346217,"Oct 09, 2018",265.0,-0.12071374740446426,"Oct 09, 2018",60.0,-0.06453852113757118,"Oct 09, 2018",1760.0,-0.07179198062626,"Oct 09, 2018",8617.0,0.0012773618412218713,"Oct 09, 2018",1324.0,0.03301643460021931,"Oct 09, 2018",25416.0,-0.002083129376665256,"Oct 09, 2018",1340.0,0.00824283423171182,"Oct 09, 2018",1.13882,-0.008873250251322524,"Oct 09, 2018",114.0,0.017699577099400857,"Oct 09, 2018",7433.0,0.0032340683086366593,"Oct 09, 2018",93.0,-0.02127739844728485,"Oct 09, 2018",1376.0,0.000727008392617263,"Oct 09, 2018",2378.0,-0.004615070075082414,"Oct 09, 2018",7100.0,0.4297000789536223,"Oct 09, 2018",1.14517,-0.009343466102114773,"Oct 09, 2018",7764.0,0.00012880788322045455,"Oct 09, 2018",20085.0,-0.015463589017080856,"Oct 09, 2018",494.0,-0.025975486403260677,"Oct 09, 2018",14022.0,-0.0019236940847384802,"Oct 09, 2018",286.0,-0.010434877292579619,"Oct 09, 2018",463.0,-0.06480846310168842,"Oct 09, 2018",1742.0,0.0658405547914343,"Oct 09, 2018",1965.0,-0.014650426218422068,"Oct 09, 2018",364.0,-0.02710192977779127,"Oct 09, 2018",21232.0,-0.0002825523918021314,"Oct 09, 2018",3764.0,-0.028805343261670977,"Oct 09, 2018",354.0,-0.02234729869199666,"Oct 09, 2018",480.0,-0.02469261259037152,"Oct 09, 2018",8659.0,-0.005413200664441681,"Oct 09, 2018",14620.0,0.0009580511237145179,"Oct 09, 2018",3685.0,0.007900872049396343,"Oct 09, 2018",197.0,-0.04467244005159255,"Oct 09, 2018",7143.0,-0.021878468901113255,"Oct 09, 2018",2116.0,0.002365745129869455,"Oct 09, 2018",1772.0,0.002259887967437504,"Oct 09, 2018",10949.0,-0.010267683681198394,"Oct 09, 2018",34097.0,-0.005556869703851656,"Oct 09, 2018",6108.0,-0.047791755300498465,"Oct 09, 2018",1343.0,-0.01771264020071197,"Oct 09, 2018",101.0,-0.029270382300113224,"Oct 09, 2018",15025.0,-0.0035212473682388664,"Oct 09, 2018",135.0,0.0,"Oct 09, 2018",3768.0,-0.008982887352120782,"Oct 09, 2018",23865.0,-0.01892722421581991,"Oct 09, 2018",6284.0,-0.009029764324519898
6,"Oct 08, 2018",1047.0,0.059014171437055174,"Oct 08, 2018",1.86442,-0.013441613966825021,"Oct 08, 2018",2646.0,-0.033082370181180605,"Oct 08, 2018",15114.0,-0.02282860689476524,"Oct 08, 2018",739.0,-0.1364027737038526,"Oct 08, 2018",299.0,0.02712030621919382,"Oct 08, 2018",64.0,0.30873548164961323,"Oct 08, 2018",1891.0,-0.04599105503012344,"Oct 08, 2018",8606.0,-0.08941958346024284,"Oct 05, 2018",1281.0,0.052074239370621896,"Oct 08, 2018",25469.0,-0.032943065068251606,"Oct 08, 2018",1329.0,0.05410902466889814,"Oct 08, 2018",1.14897,-0.007267020082779654,"Oct 08, 2018",112.0,-0.026433257068155483,"Oct 08, 2018",7409.0,-0.033577568843937415,"Oct 08, 2018",95.0,0.06524052186840094,"Oct 08, 2018",1375.0,-0.06952606264861022,"Oct 08, 2018",2389.0,0.011366150568501878,"Oct 08, 2018",4620.0,0.16941815195804674,"Oct 08, 2018",1.15592,-0.010250762164480851,"Oct 08, 2018",7763.0,-0.024934506400169018,"Oct 08, 2018",20398.0,-0.008007855292200414,"Oct 08, 2018",507.0,0.0059347355198145265,"Oct 08, 2018",14049.0,-0.035726823899025505,"Oct 08, 2018",289.0,-0.030666798392972303,"Oct 08, 2018",494.0,-0.3822558751977939,"Oct 05, 2018",1631.0,-0.006112488469077016,"Oct 08, 2018",1994.0,-0.05938484245640636,"Oct 08, 2018",374.0,-0.015915455305899568,"Oct 08, 2018",21238.0,-0.015557790030926008,"Oct 08, 2018",3874.0,-0.08222451229570393,"Oct 08, 2018",362.0,-0.0998203352822109,"Oct 08, 2018",492.0,0.018462062839735352,"Oct 08, 2018",8706.0,0.004720519962536441,"Oct 08, 2018",14606.0,-0.03801922062873444,"Oct 08, 2018",3656.0,-0.05326072315639564,"Oct 08, 2018",206.0,-0.033415996919844065,"Oct 08, 2018",7301.0,-0.005327517552475565,"Oct 08, 2018",2111.0,-0.01551147434237205,"Oct 08, 2018",1768.0,-0.007326040092072898,"Oct 08, 2018",11062.0,-0.027726313629821225,"Oct 08, 2018",34287.0,-0.029428256544772418,"Oct 08, 2018",6407.0,-0.0028054881243990176,"Oct 08, 2018",1367.0,-0.022424086069805973,"Oct 08, 2018",104.0,-0.09180754925312286,"Oct 08, 2018",15078.0,-0.020091280496968483,"Oct 08, 2018",135.0,0.0074349784875179905,"Oct 08, 2018",3802.0,-0.028521508106333505,"Oct 08, 2018",24321.0,-0.032602790527539546,"Oct 08, 2018",6341.0,0.011738713475356138
7,"Oct 05, 2018",987.0,0.042427470381603244,"Oct 05, 2018",1.88965,-0.01040790428407195,"Oct 05, 2018",2735.0,-0.015599808458207456,"Oct 05, 2018",15463.0,-0.009653827066089776,"Oct 05, 2018",847.0,-0.009400774284705779,"Oct 05, 2018",291.0,-0.06001800972625292,"Oct 05, 2018",47.0,0.06595796779179737,"Oct 05, 2018",1980.0,-0.02444621613723387,"Oct 05, 2018",9411.0,-0.004029697923838058,"Oct 04, 2018",1216.0,-0.031568789039771894,"Oct 05, 2018",26322.0,-0.0018598301149723544,"Oct 05, 2018",1259.0,-0.007123100952824022,"Oct 05, 2018",1.15735,-0.009322633461420898,"Oct 05, 2018",115.0,0.0,"Oct 05, 2018",7662.0,-0.01900386840208074,"Oct 05, 2018",89.0,0.02272825107755609,"Oct 05, 2018",1474.0,-0.03924680612253227,"Oct 05, 2018",2362.0,-0.029205246328750052,"Oct 05, 2018",3900.0,0.0,"Oct 05, 2018",1.16783,-0.00788097387902048,"Oct 05, 2018",7959.0,-0.009628083128975664,"Oct 05, 2018",20562.0,-0.021411003393016614,"Oct 05, 2018",504.0,0.007968169649176881,"Oct 05, 2018",14560.0,-0.022478960839528127,"Oct 05, 2018",298.0,0.0067340321813441194,"Oct 05, 2018",724.0,0.4320586976816121,"Oct 04, 2018",1641.0,-0.03237692872445977,"Oct 05, 2018",2116.0,-0.007532992307545148,"Oct 05, 2018",380.0,0.005277057100843819,"Oct 05, 2018",21571.0,-0.016596937529222287,"Oct 05, 2018",4206.0,-0.024657818484489478,"Oct 05, 2018",400.0,-0.019802627296179754,"Oct 05, 2018",483.0,-0.006191970247921107,"Oct 05, 2018",8665.0,-0.0047205199625364215,"Oct 05, 2018",15172.0,-0.033890566467264314,"Oct 05, 2018",3856.0,0.026275815402282646,"Oct 05, 2018",213.0,-0.004683849312426314,"Oct 05, 2018",7340.0,-0.0058412174506043005,"Oct 05, 2018",2144.0,-0.0013982756880884005,"Oct 05, 2018",1781.0,-0.026594365101204057,"Oct 05, 2018",11373.0,-0.0024589456492752943,"Oct 05, 2018",35311.0,-0.013446053493664002,"Oct 05, 2018",6425.0,-0.019878919495339393,"Oct 05, 2018",1398.0,-0.07441448556608338,"Oct 05, 2018",114.0,-0.03448617607116932,"Oct 05, 2018",15384.0,-0.020587448687681326,"Oct 05, 2018",134.0,-0.02941388520629334,"Oct 05, 2018",3912.0,0.00025565639919382155,"Oct 05, 2018",25127.0,-0.02542326666498017,"Oct 05, 2018",6267.0,-0.0022314322297052568
8,"Oct 04, 2018",946.0,-0.03122001736121416,"Oct 04, 2018",1.90942,-0.022444225456842017,"Oct 04, 2018",2778.0,-0.02312858833671075,"Oct 04, 2018",15613.0,-0.03918868804559412,"Oct 04, 2018",855.0,0.05283341482134735,"Oct 04, 2018",309.0,-0.06877709847931744,"Oct 04, 2018",44.0,0.0,"Oct 04, 2018",2029.0,0.10870655975497374,"Oct 04, 2018",9449.0,-0.02580451352646973,"Oct 03, 2018",1255.0,0.05066442946796823,"Oct 04, 2018",26371.0,-0.025459051658775066,"Oct 04, 2018",1268.0,-0.04019088058324534,"Oct 04, 2018",1.16819,-0.02932133095963738,"Oct 04, 2018",115.0,0.0,"Oct 04, 2018",7809.0,-0.035351816389862345,"Oct 04, 2018",87.0,0.0,"Oct 04, 2018",1533.0,-0.1911970344743318,"Oct 04, 2018",2432.0,-0.033161146064135116,"Oct 04, 2018",3900.0,-0.17589066646366416,"Oct 04, 2018",1.17707,-0.028855723912011865,"Oct 04, 2018",8036.0,-0.032565002678159025,"Oct 04, 2018",21007.0,-0.029456658163304724,"Oct 04, 2018",500.0,-0.02761516703297338,"Oct 04, 2018",14891.0,-0.07308093803214516,"Oct 04, 2018",296.0,0.0204785313435407,"Oct 04, 2018",470.0,-0.010582109330536972,"Oct 03, 2018",1695.0,0.05642989218624613,"Oct 04, 2018",2132.0,0.010372558815622976,"Oct 04, 2018",378.0,0.0,"Oct 04, 2018",21932.0,-0.00898739652115626,"Oct 04, 2018",4311.0,0.005116290230254195,"Oct 04, 2018",408.0,0.1852670670237115,"Oct 04, 2018",486.0,-0.01632689328742878,"Oct 04, 2018",8706.0,-0.006297610554120981,"Oct 04, 2018",15695.0,-0.044365882738828494,"Oct 04, 2018",3756.0,-0.037621991789584294,"Oct 04, 2018",214.0,-0.004662013105811301,"Oct 04, 2018",7383.0,-0.020246049192820803,"Oct 04, 2018",2147.0,0.014544004900591111,"Oct 04, 2018",1829.0,-0.030158451491245422,"Oct 04, 2018",11401.0,-0.020660457108256553,"Oct 04, 2018",35789.0,-0.04739344244317581,"Oct 04, 2018",6554.0,-0.05679385412654136,"Oct 04, 2018",1506.0,-0.038428694614414706,"Oct 04, 2018",118.0,0.08855339734144503,"Oct 04, 2018",15704.0,-0.028128424036376443,"Oct 04, 2018",138.0,-0.00722024797348702,"Oct 04, 2018",3911.0,-0.08053429659712306,"Oct 04, 2018",25774.0,-0.01421523638585228,"Oct 04, 2018",6281.0,-0.030573832343145025
9,"Oct 03, 2018",976.0,0.04720330913602551,"Oct 03, 2018",1.95276,-0.009454539893144525,"Oct 03, 2018",2843.0,-0.020540321793133323,"Oct 03, 2018",16237.0,0.013267398579234316,"Oct 03, 2018",811.0,0.10522351997297615,"Oct 03, 2018",331.0,-0.020927520105955874,"Oct 03, 2018",44.0,0.12062798778861472,"Oct 03, 2018",1820.0,0.13133600206108695,"Oct 03, 2018",9696.0,-0.008932756148333176,"Oct 02, 2018",1193.0,-0.0434672772494823,"Oct 03, 2018",27051.0,-0.005493000116072314,"Oct 03, 2018",1320.0,0.053688505113505494,"Oct 03, 2018",1.20295,0.0023636541095300116,"Oct 03, 2018",115.0,0.0,"Oct 03, 2018",8090.0,0.01657668667500245,"Oct 03, 2018",87.0,-0.011428695823622744,"Oct 03, 2018",1856.0,-0.059609908385888276,"Oct 03, 2018",2514.0,0.009592399691439508,"Oct 03, 2018",4650.0,0.26430162380771727,"Oct 03, 2018",1.21153,0.0032159818059133683,"Oct 03, 2018",8302.0,-0.004446855474001246,"Oct 03, 2018",21635.0,-0.011717537857923517,"Oct 03, 2018",514.0,0.005853675251460728,"Oct 03, 2018",16020.0,0.02272825107755609,"Oct 03, 2018",290.0,-0.02385121582217991,"Oct 03, 2018",475.0,0.0299167610379926,"Oct 02, 2018",1602.0,-0.10311079592381091,"Oct 03, 2018",2110.0,-0.00047382137820846506,"Oct 03, 2018",378.0,0.0026490081715768625,"Oct 03, 2018",22130.0,-0.006485924907950119,"Oct 03, 2018",4289.0,0.03150053229776242,"Oct 03, 2018",339.0,-0.19015705231790328,"Oct 03, 2018",494.0,0.022518863535349824,"Oct 03, 2018",8761.0,0.020643067114893797,"Oct 03, 2018",16407.0,0.010661865704037479,"Oct 03, 2018",3900.0,-0.018293193047325376,"Oct 03, 2018",215.0,0.028303776162851724,"Oct 03, 2018",7534.0,0.03278539844555613,"Oct 03, 2018",2116.0,0.048412163786930806,"Oct 03, 2018",1885.0,0.017661684675986465,"Oct 03, 2018",11639.0,-0.005654572983034823,"Oct 03, 2018",37526.0,-0.002422049811327568,"Oct 03, 2018",6937.0,0.014081672768705065,"Oct 03, 2018",1565.0,0.059906030224971776,"Oct 03, 2018",108.0,-0.08004270767353637,"Oct 03, 2018",16152.0,0.008205939370323186,"Oct 03, 2018",139.0,-0.007168489478612516,"Oct 03, 2018",4239.0,0.014016145833835049,"Oct 03, 2018",26143.0,0.02040335086088611,"Oct 03, 2018",6476.0,0.008217737539733228
