 000000">\n 	 : 1
 262626">\n 	 : 1
 Osvegetais 	 : 1
 Superalimentos"}}]},"shortcode":"BnXEPddl2_8","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536184813,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/6bc8b1fdb4a8667ecdeb85a9126e709f/5C20F889/t51.2885-15/e35/39965035_893267780882921_6879936458838445044_n.jpg","edge_liked_by":{"count":3},"edge_media_preview_like":{"count":3},"owner":{"id":"6825442052"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/8d250be62ce0ea3a8b192b0f2d36166f/5C2A086C/t51.2885-15/sh0.08/e35/s640x640/39965035_893267780882921_6879936458838445044_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/6ac3b266de2f5e85586d59035f7cd757/5C24F7CB/t51.2885-15/e35/s150x150/39965035_893267780882921_6879936458838445044_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/d3dd9c41c2e77b6347b13d7efdb4cc6c/5C237181/t51.2885-15/e35/s240x240/39965035_893267780882921_6879936458838445044_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/d22164ea9896ac88f1a515fd591dc424/5C171A3B/t51.2885-15/e35/s320x320/39965035_893267780882921_6879936458838445044_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/e1b57eecaec1a2cb2a2c927d734ff55d/5C1F8561/t51.2885-15/e35/s480x480/39965035_893267780882921_6879936458838445044_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/8d250be62ce0ea3a8b192b0f2d36166f/5C2A086C/t51.2885-15/sh0.08/e35/s640x640/39965035_893267780882921_6879936458838445044_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphVideo","id":"1861968044500596934","edge_media_to_caption":{"edges":[{"node":{"text":"A\\u00ed 	 : 1
 lowcarbbrasil 	 : 1
 soulowcarb 	 : 1
 lowcarblifestyle 	 : 1
 baixocarbo 	 : 1
 comerbem 	 : 1
 fitfood 	 : 1
 food 	 : 1
 comidaboa 	 : 1
 legumes 	 : 1
 thaidecafelw 	 : 1
 abrobinha 	 : 1
 bomdia\\n#novoshabitos 	 : 1
 dietalowcarb 	 : 1
 estilodevida 	 : 1
 poderdaacao 	 : 1
 paolowcarb 	 : 1
 comidalowcarb 	 : 1
 jejumintermitente 	 : 1
 keto 	 : 1
 iogurtegrego 	 : 1
 almocolowcarb 	 : 1
 jantarlowcarb 	 : 1
 cafelowcarb 	 : 1
