 000000">\n 	 : 1
 262626">\n 	 : 1
 SP"}}]},"shortcode":"BmvsKTFl-Fl","edge_media_to_comment":{"count":0},"taken_at_timestamp":1534863565,"dimensions":{"height":1080,"width":1080},"display_url":"https://instagram.fgru3-2.fna.fbcdn.net/vp/5605e049f385f56b75df792ba45ead17/5C37A1B3/t51.2885-15/e35/38685299_2172703082943743_386801846984900608_n.jpg","edge_liked_by":{"count":16},"edge_media_preview_like":{"count":16},"owner":{"id":"182319008"},"thumbnail_src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/57b1b248e3ec31c96c2393420c09ae4f/5C371B56/t51.2885-15/sh0.08/e35/s640x640/38685299_2172703082943743_386801846984900608_n.jpg","thumbnail_resources":[{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/a38c25f773e41e7712d62543ce488dbf/5BFCEFF1/t51.2885-15/e35/s150x150/38685299_2172703082943743_386801846984900608_n.jpg","config_width":150,"config_height":150},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/9724ce5200d2d53858bba1e7c1fcc078/5C07ACBB/t51.2885-15/e35/s240x240/38685299_2172703082943743_386801846984900608_n.jpg","config_width":240,"config_height":240},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/b8a7623c025b1d2ed8c216d4ec068b91/5C38AA01/t51.2885-15/e35/s320x320/38685299_2172703082943743_386801846984900608_n.jpg","config_width":320,"config_height":320},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/75b78ba1af4a11b12166b8236fdb20e2/5C15D95B/t51.2885-15/e35/s480x480/38685299_2172703082943743_386801846984900608_n.jpg","config_width":480,"config_height":480},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/57b1b248e3ec31c96c2393420c09ae4f/5C371B56/t51.2885-15/sh0.08/e35/s640x640/38685299_2172703082943743_386801846984900608_n.jpg","config_width":640,"config_height":640}],"is_video":false}},{"node":{"comments_disabled":false,"id":"1850855795321012340","edge_media_to_caption":{"edges":[{"node":{"text":"Imers\\u00e3o 	 : 1
 amproadshow"}}]},"shortcode":"Bmvj4oilQB0","edge_media_to_comment":{"count":0},"taken_at_timestamp":1534859226,"dimensions":{"height":1080,"width":1080},"display_url":"https://instagram.fgru3-2.fna.fbcdn.net/vp/63137401c1b62f3d339d3f9c110fc9e5/5BFB9486/t51.2885-15/e35/39056909_550448775386931_3285389474493628416_n.jpg","edge_liked_by":{"count":4},"edge_media_preview_like":{"count":4},"owner":{"id":"245130806"},"thumbnail_src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/37a5351ee234e47b0c105fb3b793d514/5C14D863/t51.2885-15/sh0.08/e35/s640x640/39056909_550448775386931_3285389474493628416_n.jpg","thumbnail_resources":[{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/aa093cb0ae1a06ed163c9f193e52086f/5C14BCC4/t51.2885-15/e35/s150x150/39056909_550448775386931_3285389474493628416_n.jpg","config_width":150,"config_height":150},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/0410441d4ddb183677c1af602d8f745c/5C0C0C8E/t51.2885-15/e35/s240x240/39056909_550448775386931_3285389474493628416_n.jpg","config_width":240,"config_height":240},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/16b53c8a2b1fdd862abd2823bb74341d/5C007434/t51.2885-15/e35/s320x320/39056909_550448775386931_3285389474493628416_n.jpg","config_width":320,"config_height":320},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/711805f69dc7759da364054f5134e22a/5C05766E/t51.2885-15/e35/s480x480/39056909_550448775386931_3285389474493628416_n.jpg","config_width":480,"config_height":480},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/37a5351ee234e47b0c105fb3b793d514/5C14D863/t51.2885-15/sh0.08/e35/s640x640/39056909_550448775386931_3285389474493628416_n.jpg","config_width":640,"config_height":640}],"is_video":false}},{"node":{"comments_disabled":false,"id":"1850852910218660245","edge_media_to_caption":{"edges":[{"node":{"text":"Bwn 	 : 1
 SP"}}]},"shortcode":"BmvjOplFMmV","edge_media_to_comment":{"count":0},"taken_at_timestamp":1534858882,"dimensions":{"height":1080,"width":1080},"display_url":"https://instagram.fgru3-2.fna.fbcdn.net/vp/1320edad5c7dbfc36c698a6e5fbdc72b/5C09D8AF/t51.2885-15/e35/39510021_254263768546764_3613531448423743488_n.jpg","edge_liked_by":{"count":42},"edge_media_preview_like":{"count":42},"owner":{"id":"182319008"},"thumbnail_src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/b7c051e6f4a050ea2af636a36c2124c3/5BF4324A/t51.2885-15/sh0.08/e35/s640x640/39510021_254263768546764_3613531448423743488_n.jpg","thumbnail_resources":[{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/297dba6fc16992019b58122e32e09834/5BF62CED/t51.2885-15/e35/s150x150/39510021_254263768546764_3613531448423743488_n.jpg","config_width":150,"config_height":150},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/5201fac8af81369b9e7b2273464d4c11/5C1811A7/t51.2885-15/e35/s240x240/39510021_254263768546764_3613531448423743488_n.jpg","config_width":240,"config_height":240},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/354d623b70cc76af5e7ad35621226e2d/5C17951D/t51.2885-15/e35/s320x320/39510021_254263768546764_3613531448423743488_n.jpg","config_width":320,"config_height":320},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/d7c3d320ea5bb69603829bcc536dd6e5/5C045447/t51.2885-15/e35/s480x480/39510021_254263768546764_3613531448423743488_n.jpg","config_width":480,"config_height":480},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/b7c051e6f4a050ea2af636a36c2124c3/5BF4324A/t51.2885-15/sh0.08/e35/s640x640/39510021_254263768546764_3613531448423743488_n.jpg","config_width":640,"config_height":640}],"is_video":false}},{"node":{"comments_disabled":false,"id":"1850847837466714385","edge_media_to_caption":{"edges":[{"node":{"text":"S\\u00f3 	 : 1
 amproadshow"}}]},"shortcode":"BmviE1NgOER","edge_media_to_comment":{"count":0},"taken_at_timestamp":1534858277,"dimensions":{"height":1350,"width":1080},"display_url":"https://instagram.fgru3-2.fna.fbcdn.net/vp/6340597a9d28689a890362ef80872252/5C058F6B/t51.2885-15/e35/38682332_293554694574151_2473330735004516352_n.jpg","edge_liked_by":{"count":14},"edge_media_preview_like":{"count":14},"owner":{"id":"6426298221"},"thumbnail_src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/2a38d8fde9e76c554fce8f7d976177be/5C19CB28/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/38682332_293554694574151_2473330735004516352_n.jpg","thumbnail_resources":[{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/bba298841eaef52b85445216d3da6dc5/5C3AD233/t51.2885-15/e35/c0.135.1080.1080/s150x150/38682332_293554694574151_2473330735004516352_n.jpg","config_width":150,"config_height":150},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/625c784c6ba66da8a6a95579f2697ba8/5C098B79/t51.2885-15/e35/c0.135.1080.1080/s240x240/38682332_293554694574151_2473330735004516352_n.jpg","config_width":240,"config_height":240},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/7a0c5706a960951fae31391ae7d258d6/5C00C2C3/t51.2885-15/e35/c0.135.1080.1080/s320x320/38682332_293554694574151_2473330735004516352_n.jpg","config_width":320,"config_height":320},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/7fa98201ea3d23db94e07e76b6966e1d/5C020299/t51.2885-15/e35/c0.135.1080.1080/s480x480/38682332_293554694574151_2473330735004516352_n.jpg","config_width":480,"config_height":480},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/2a38d8fde9e76c554fce8f7d976177be/5C19CB28/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/38682332_293554694574151_2473330735004516352_n.jpg","config_width":640,"config_height":640}],"is_video":false}},{"node":{"comments_disabled":false,"id":"1850847121532690219","edge_media_to_caption":{"edges":[{"node":{"text":"Sobre 	 : 1
 devops 	 : 1
 amproadshow"}}]},"shortcode":"Bmvh6acgp8r","edge_media_to_comment":{"count":0},"taken_at_timestamp":1534858192,"dimensions":{"height":1350,"width":1080},"display_url":"https://instagram.fgru3-2.fna.fbcdn.net/vp/2a168331fd07e5c93ff69c80a87a86b3/5C004503/t51.2885-15/e35/38618306_252630058913935_5523089275618328576_n.jpg","edge_liked_by":{"count":10},"edge_media_preview_like":{"count":10},"owner":{"id":"6426298221"},"thumbnail_src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/1a6654914bb063674381b8648056c901/5C37E040/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/38618306_252630058913935_5523089275618328576_n.jpg","thumbnail_resources":[{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/16697f899ce781fff2b5168d24d32a5e/5C39725B/t51.2885-15/e35/c0.135.1080.1080/s150x150/38618306_252630058913935_5523089275618328576_n.jpg","config_width":150,"config_height":150},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/051dc69b01031a4bcb5544eac5e4f1e2/5BFCA611/t51.2885-15/e35/c0.135.1080.1080/s240x240/38618306_252630058913935_5523089275618328576_n.jpg","config_width":240,"config_height":240},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/b13ce1e1da409d425f92d5adbce58abb/5BF9B9AB/t51.2885-15/e35/c0.135.1080.1080/s320x320/38618306_252630058913935_5523089275618328576_n.jpg","config_width":320,"config_height":320},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/2b37f89d0fed651aac9da19c7c00c97f/5C3650F1/t51.2885-15/e35/c0.135.1080.1080/s480x480/38618306_252630058913935_5523089275618328576_n.jpg","config_width":480,"config_height":480},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/1a6654914bb063674381b8648056c901/5C37E040/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/38618306_252630058913935_5523089275618328576_n.jpg","config_width":640,"config_height":640}],"is_video":false}},{"node":{"comments_disabled":false,"id":"1850841088170303544","edge_media_to_caption":{"edges":[{"node":{"text":"AMP 	 : 1
 amproadshow"}}]},"shortcode":"BmvgincFqA4","edge_media_to_comment":{"count":0},"taken_at_timestamp":1534857472,"dimensions":{"height":1080,"width":1080},"display_url":"https://instagram.fgru3-2.fna.fbcdn.net/vp/b967befe372d32451c7486cd0e0818e8/5C36B3E1/t51.2885-15/e35/38905964_291264828331108_6659902166079111168_n.jpg","edge_liked_by":{"count":30},"edge_media_preview_like":{"count":30},"owner":{"id":"575216"},"thumbnail_src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/408d1348466146b41dec4fb3723c2b15/5C06FB04/t51.2885-15/sh0.08/e35/s640x640/38905964_291264828331108_6659902166079111168_n.jpg","thumbnail_resources":[{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/fcb14d143811b4735cc39ce14781f84f/5BFFA8A3/t51.2885-15/e35/s150x150/38905964_291264828331108_6659902166079111168_n.jpg","config_width":150,"config_height":150},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/4514b7414e4315ff536d8eba22ec41bf/5C3944E9/t51.2885-15/e35/s240x240/38905964_291264828331108_6659902166079111168_n.jpg","config_width":240,"config_height":240},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/c1e8deb1f84214a63332162097c7cf11/5C162953/t51.2885-15/e35/s320x320/38905964_291264828331108_6659902166079111168_n.jpg","config_width":320,"config_height":320},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/4b8f3c5c1bfff5830708c48d08ad924f/5C387809/t51.2885-15/e35/s480x480/38905964_291264828331108_6659902166079111168_n.jpg","config_width":480,"config_height":480},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/408d1348466146b41dec4fb3723c2b15/5C06FB04/t51.2885-15/sh0.08/e35/s640x640/38905964_291264828331108_6659902166079111168_n.jpg","config_width":640,"config_height":640}],"is_video":false}},{"node":{"comments_disabled":false,"id":"1850840940034530198","edge_media_to_caption":{"edges":[{"node":{"text":"Vamos 	 : 1
 amproadshow"}}]},"shortcode":"BmvggdeghuW","edge_media_to_comment":{"count":0},"taken_at_timestamp":1534857455,"dimensions":{"height":1080,"width":1080},"display_url":"https://instagram.fgru3-2.fna.fbcdn.net/vp/a2ee92a4092e9c617725e8d04d5fe5f4/5BF65876/t51.2885-15/e35/38882091_459440594534123_5518487969779941376_n.jpg","edge_liked_by":{"count":58},"edge_media_preview_like":{"count":58},"owner":{"id":"1332724540"},"thumbnail_src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/2ea9c1e9710e435a0b961da82ad589d9/5C078F93/t51.2885-15/sh0.08/e35/s640x640/38882091_459440594534123_5518487969779941376_n.jpg","thumbnail_resources":[{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/34f99c9ce8ce52e4f4ca82165c45ad1e/5C169834/t51.2885-15/e35/s150x150/38882091_459440594534123_5518487969779941376_n.jpg","config_width":150,"config_height":150},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/21fa496c3fd0ee9acb5bbb2519134326/5C37057E/t51.2885-15/e35/s240x240/38882091_459440594534123_5518487969779941376_n.jpg","config_width":240,"config_height":240},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/172d1334d7959108bbd52d802d3ac2f2/5BF82FC4/t51.2885-15/e35/s320x320/38882091_459440594534123_5518487969779941376_n.jpg","config_width":320,"config_height":320},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/cd3711ec70b188ddaddabd15cff02d21/5BFC319E/t51.2885-15/e35/s480x480/38882091_459440594534123_5518487969779941376_n.jpg","config_width":480,"config_height":480},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/2ea9c1e9710e435a0b961da82ad589d9/5C078F93/t51.2885-15/sh0.08/e35/s640x640/38882091_459440594534123_5518487969779941376_n.jpg","config_width":640,"config_height":640}],"is_video":false}},{"node":{"comments_disabled":false,"id":"1850835744055343456","edge_media_to_caption":{"edges":[{"node":{"text":"#amproadshow"}}]},"shortcode":"BmvfU2WA7lg","edge_media_to_comment":{"count":0},"taken_at_timestamp":1534856835,"dimensions":{"height":1080,"width":1080},"display_url":"https://instagram.fgru3-2.fna.fbcdn.net/vp/4b7311b8baf80237e885b1a3f52d6871/5C184468/t51.2885-15/e35/39910195_323905868183889_8523692710098370560_n.jpg","edge_liked_by":{"count":6},"edge_media_preview_like":{"count":6},"owner":{"id":"4030671342"},"thumbnail_src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/c5aba42a0b6296ca482fea8b9c92147e/5C0B6F8D/t51.2885-15/sh0.08/e35/s640x640/39910195_323905868183889_8523692710098370560_n.jpg","thumbnail_resources":[{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/949026b6cb61b70c8b31af449f383d75/5C14B82A/t51.2885-15/e35/s150x150/39910195_323905868183889_8523692710098370560_n.jpg","config_width":150,"config_height":150},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/dfeb32ebc841dae549003656c52e65d5/5C381360/t51.2885-15/e35/s240x240/39910195_323905868183889_8523692710098370560_n.jpg","config_width":240,"config_height":240},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/27a1b621f6225874e3b5dddac41d067b/5C027ADA/t51.2885-15/e35/s320x320/39910195_323905868183889_8523692710098370560_n.jpg","config_width":320,"config_height":320},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/5a200302afa3f69546a9448ff0f95e44/5C364180/t51.2885-15/e35/s480x480/39910195_323905868183889_8523692710098370560_n.jpg","config_width":480,"config_height":480},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/c5aba42a0b6296ca482fea8b9c92147e/5C0B6F8D/t51.2885-15/sh0.08/e35/s640x640/39910195_323905868183889_8523692710098370560_n.jpg","config_width":640,"config_height":640}],"is_video":false}},{"node":{"comments_disabled":false,"id":"1840937918899680271","edge_media_to_caption":{"edges":[{"node":{"text":"I 	 : 1
 cambridge"}}]},"shortcode":"BmMU0iVj_QP","edge_media_to_comment":{"count":1},"taken_at_timestamp":1533676923,"dimensions":{"height":1080,"width":1080},"display_url":"https://instagram.fgru3-2.fna.fbcdn.net/vp/0f825ddda9728000b5d5795f17e80183/5BF72E93/t51.2885-15/e35/37792823_1904323536528225_443822631670513664_n.jpg","edge_liked_by":{"count":13},"edge_media_preview_like":{"count":13},"owner":{"id":"312225728"},"thumbnail_src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/b2a3083b15152eca7ce326572afb2121/5C144F76/t51.2885-15/sh0.08/e35/s640x640/37792823_1904323536528225_443822631670513664_n.jpg","thumbnail_resources":[{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/043140496af736fcd9b284e09fe2f435/5C0976D1/t51.2885-15/e35/s150x150/37792823_1904323536528225_443822631670513664_n.jpg","config_width":150,"config_height":150},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/97f9f078ac148e78c482fc2dc567a415/5BFFA89B/t51.2885-15/e35/s240x240/37792823_1904323536528225_443822631670513664_n.jpg","config_width":240,"config_height":240},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/9ae12eb6cd7af9ccd4f63c7faa66eb3e/5C0C2F21/t51.2885-15/e35/s320x320/37792823_1904323536528225_443822631670513664_n.jpg","config_width":320,"config_height":320},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/0e819a2409f9fb663f38ec676121a4b4/5BF8B57B/t51.2885-15/e35/s480x480/37792823_1904323536528225_443822631670513664_n.jpg","config_width":480,"config_height":480},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/b2a3083b15152eca7ce326572afb2121/5C144F76/t51.2885-15/sh0.08/e35/s640x640/37792823_1904323536528225_443822631670513664_n.jpg","config_width":640,"config_height":640}],"is_video":false}},{"node":{"comments_disabled":false,"id":"1840705995849793952","edge_media_to_caption":{"edges":[{"node":{"text":"#amproadshow"}}]},"shortcode":"BmLgFnKjwGg","edge_media_to_comment":{"count":0},"taken_at_timestamp":1533649275,"dimensions":{"height":810,"width":1080},"display_url":"https://instagram.fgru3-2.fna.fbcdn.net/vp/408efb634c28c635043043e800f33de0/5C14A9AA/t51.2885-15/e35/37784046_313867992685418_7738342263394140160_n.jpg","edge_liked_by":{"count":2},"edge_media_preview_like":{"count":2},"owner":{"id":"1604701539"},"thumbnail_src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/e41fec5ba844c67fb67ddd0c5cc2ce9b/5C09E7EF/t51.2885-15/sh0.08/e35/c135.0.810.810/s640x640/37784046_313867992685418_7738342263394140160_n.jpg","thumbnail_resources":[{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/5dbf0ec778cd6ee5e2a32529afe13fd3/5C159EE5/t51.2885-15/e35/c135.0.810.810/s150x150/37784046_313867992685418_7738342263394140160_n.jpg","config_width":150,"config_height":150},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/efcaf9776adf4bfd07e4095b304ffbc0/5C39C7AF/t51.2885-15/e35/c135.0.810.810/s240x240/37784046_313867992685418_7738342263394140160_n.jpg","config_width":240,"config_height":240},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/20ffdad7c0b5d90f550dd7185a18b87f/5C00C415/t51.2885-15/e35/c135.0.810.810/s320x320/37784046_313867992685418_7738342263394140160_n.jpg","config_width":320,"config_height":320},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/37f7c04f3cae16d18cb42ab4ebfc03e5/5BF5334F/t51.2885-15/e35/c135.0.810.810/s480x480/37784046_313867992685418_7738342263394140160_n.jpg","config_width":480,"config_height":480},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/e41fec5ba844c67fb67ddd0c5cc2ce9b/5C09E7EF/t51.2885-15/sh0.08/e35/c135.0.810.810/s640x640/37784046_313867992685418_7738342263394140160_n.jpg","config_width":640,"config_height":640}],"is_video":false}},{"node":{"comments_disabled":false,"id":"1840704157016485030","edge_media_to_caption":{"edges":[{"node":{"text":"#amproadshow"}}]},"shortcode":"BmLfq2njWym","edge_media_to_comment":{"count":0},"taken_at_timestamp":1533649056,"dimensions":{"height":810,"width":1080},"display_url":"https://instagram.fgru3-2.fna.fbcdn.net/vp/407f8d2027c8602f546d44cfea5e6e19/5BFD7723/t51.2885-15/e35/37890620_1561181457321777_6533429273431113728_n.jpg","edge_liked_by":{"count":2},"edge_media_preview_like":{"count":2},"owner":{"id":"1604701539"},"thumbnail_src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/6fb843c635923f44300273af7f4d32a2/5BFB4314/t51.2885-15/sh0.08/e35/c135.0.810.810/s640x640/37890620_1561181457321777_6533429273431113728_n.jpg","thumbnail_resources":[{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/a412a40a2ea313c04e32b04116cab6f1/5BF99320/t51.2885-15/e35/c135.0.810.810/s150x150/37890620_1561181457321777_6533429273431113728_n.jpg","config_width":150,"config_height":150},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/f6acbcce5a02952e4bdd9b21a1e19b0c/5C081326/t51.2885-15/e35/c135.0.810.810/s240x240/37890620_1561181457321777_6533429273431113728_n.jpg","config_width":240,"config_height":240},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/2157b644c23a521274a19700af06bbb3/5C00A958/t51.2885-15/e35/c135.0.810.810/s320x320/37890620_1561181457321777_6533429273431113728_n.jpg","config_width":320,"config_height":320},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/e60f651bbedfdae226dc497aba278d5b/5C0D881F/t51.2885-15/e35/c135.0.810.810/s480x480/37890620_1561181457321777_6533429273431113728_n.jpg","config_width":480,"config_height":480},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/6fb843c635923f44300273af7f4d32a2/5BFB4314/t51.2885-15/sh0.08/e35/c135.0.810.810/s640x640/37890620_1561181457321777_6533429273431113728_n.jpg","config_width":640,"config_height":640}],"is_video":false}},{"node":{"comments_disabled":false,"id":"1840703635027126724","edge_media_to_caption":{"edges":[{"node":{"text":"#amproadshow"}}]},"shortcode":"BmLfjQej-nE","edge_media_to_comment":{"count":0},"taken_at_timestamp":1533648994,"dimensions":{"height":1080,"width":1080},"display_url":"https://instagram.fgru3-2.fna.fbcdn.net/vp/990baa11d1b2369a219e86ac7b1d362d/5C004ABD/t51.2885-15/e35/38247724_2111638929162972_5403103321185583104_n.jpg","edge_liked_by":{"count":4},"edge_media_preview_like":{"count":4},"owner":{"id":"1604701539"},"thumbnail_src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/037e5622b2a8855bd2ea11b369320d60/5C17DB07/t51.2885-15/sh0.08/e35/s640x640/38247724_2111638929162972_5403103321185583104_n.jpg","thumbnail_resources":[{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/db94f6a42de3d409da203eed7a70cb43/5C056082/t51.2885-15/e35/s150x150/38247724_2111638929162972_5403103321185583104_n.jpg","config_width":150,"config_height":150},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/46fef96cfa18c180d37964fda7351806/5C005E84/t51.2885-15/e35/s240x240/38247724_2111638929162972_5403103321185583104_n.jpg","config_width":240,"config_height":240},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/60bbca149b547ff28cbbd9eb922b9dec/5C3B3FFA/t51.2885-15/e35/s320x320/38247724_2111638929162972_5403103321185583104_n.jpg","config_width":320,"config_height":320},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/425516bbd4fea6480d22fc731e04ec03/5C031FBD/t51.2885-15/e35/s480x480/38247724_2111638929162972_5403103321185583104_n.jpg","config_width":480,"config_height":480},{"src":"https://instagram.fgru3-2.fna.fbcdn.net/vp/037e5622b2a8855bd2ea11b369320d60/5C17DB07/t51.2885-15/sh0.08/e35/s640x640/38247724_2111638929162972_5403103321185583104_n.jpg","config_width":640,"config_height":640}],"is_video":false}},{"node":{"comments_disabled":false,"id":"1840691752839985019","edge_media_to_caption":{"edges":[{"node":{"text":"At 	 : 1
